etablissement_id,site_web,adresse,nb_etudiants,url_logo,url_image
0870669E,https://unilim.fr,,17658,http://commons.wikimedia.org/wiki/Special:FilePath/Universit%C3%A9%20de%20Limoges.png,http://commons.wikimedia.org/wiki/Special:FilePath/Services%20centraux%20de%20l%27Universit%C3%A9%20de%20Limoges%20%282%29.JPG
0871030X,http://www.lyc-jean-monnet.ac-limoges.fr,12 rue Louis Armstrong 87065 Limoges,358,,
0871030X,http://www.lyc-jean-monnet.ac-limoges.fr,12 rue Louis Armstrong 87065 Limoges,366,,
0880019T,https://lycee-lapicque.fr,5 rue Nicolas Bellot 88000 Épinal,1091,,
0880019T,https://lycee-lapicque.fr,5 rue Nicolas Bellot 88000 Épinal,1155,,
0880021V,http://lyc-mendes-france-epinal.monbureaunumerique.fr,2 rue du Haut des Etages 88021 Épinal,743,,
0880021V,http://lyc-mendes-france-epinal.monbureaunumerique.fr,2 rue du Haut des Etages 88021 Épinal,776,,
0880152M,https://www.lyceebaumont.com,32 rue de l'Orme 88100 Saint-Dié-des-Vosges,636,,
0880152M,https://www.lyceebaumont.com,32 rue de l'Orme 88100 Saint-Dié-des-Vosges,712,,
0881070K,https://www.campusdemirecourt.fr,270 avenue du Maréchal de Lattre de Tassigny 88500 Mirecourt,,,
0881679X,http://iutsd.univ-lorraine.fr/,"11, rue de l’Université, 88100 SAINT-DIÉ-DES-VOSGES",360,http://commons.wikimedia.org/wiki/Special:FilePath/IUT%20Saint-Di%C3%A9%20logo%20short.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Saint-Di%C3%A9-des-Vosges%2C%20b%C3%A2timent%20principal%20de%20l%27IUT%2C%20f%C3%A9vrier%202021.jpg
0890005X,http://lyc89-fourier.ac-dijon.fr,16 rue Raymond Poincaré BP 26 89010 Auxerre,1109,,
0890005X,http://lyc89-fourier.ac-dijon.fr,16 rue Raymond Poincaré BP 26 89010 Auxerre,1120,,
0890045R,http://www.terresdelyonne.com,La Brosse 89290 Venoy,,,
0891200W,http://lyc-janot-curie-sens.eclat-bfc.fr/,1 place Lech Walesa BP 803 89094 Sens,2095,,
0891200W,http://lyc-janot-curie-sens.eclat-bfc.fr/,1 place Lech Walesa BP 803 89094 Sens,2134,,
0900002N,http://lyc-condorcet-belfort.eclat-bfc.fr,13 avenue Roosevelt BP 537 90016 Belfort,981,,http://commons.wikimedia.org/wiki/Special:FilePath/Fa%C3%A7ade%20du%20lyc%C3%A9e2.jpg
0900002N,https://lyc-condorcet-belfort.eclat-bfc.fr/,13 avenue Roosevelt BP 537 90016 Belfort,981,,http://commons.wikimedia.org/wiki/Special:FilePath/Fa%C3%A7ade%20du%20lyc%C3%A9e2.jpg
0900002N,http://lyc-condorcet-belfort.eclat-bfc.fr,13 avenue Roosevelt BP 537 90016 Belfort,998,,http://commons.wikimedia.org/wiki/Special:FilePath/Fa%C3%A7ade%20du%20lyc%C3%A9e2.jpg
0900002N,https://lyc-condorcet-belfort.eclat-bfc.fr/,13 avenue Roosevelt BP 537 90016 Belfort,998,,http://commons.wikimedia.org/wiki/Special:FilePath/Fa%C3%A7ade%20du%20lyc%C3%A9e2.jpg
0910620E,http://www.lyc-doisneau-corbeil.ac-versailles.fr,89 avenue Serge Dassault 91813 Corbeil-Essonnes,2199,,
0910620E,http://www.lyc-doisneau-corbeil.ac-versailles.fr,89 avenue Serge Dassault 91813 Corbeil-Essonnes,2227,,
0912364A,http://www.lyc-tesla-dourdan.ac-versailles.fr,15-21 Chemin du Champ de Courses 91410 Dourdan,1762,,
0912364A,http://www.lyc-tesla-dourdan.ac-versailles.fr,15-21 Chemin du Champ de Courses 91410 Dourdan,1813,,
0910622G,http://www.lyc-st-hilaire-etampes.ac-versailles.fr/,2-6 avenue Geoffroy-Saint-Hilaire 91150 Etampes,1768,,http://commons.wikimedia.org/wiki/Special:FilePath/Lyc%C3%A9e%20Geoffroy-Saint-Hilaire.JPG
0910622G,https://www.lgsh.fr/,2-6 avenue Geoffroy-Saint-Hilaire 91150 Etampes,1768,,http://commons.wikimedia.org/wiki/Special:FilePath/Lyc%C3%A9e%20Geoffroy-Saint-Hilaire.JPG
0910622G,http://www.lyc-st-hilaire-etampes.ac-versailles.fr/,2-6 avenue Geoffroy-Saint-Hilaire 91150 Etampes,1780,,http://commons.wikimedia.org/wiki/Special:FilePath/Lyc%C3%A9e%20Geoffroy-Saint-Hilaire.JPG
0910622G,https://www.lgsh.fr/,2-6 avenue Geoffroy-Saint-Hilaire 91150 Etampes,1780,,http://commons.wikimedia.org/wiki/Special:FilePath/Lyc%C3%A9e%20Geoffroy-Saint-Hilaire.JPG
0910626L,http://www.ac-versailles.fr/etabliss/orsay,18 rue Alexander Fleming BP 55 91401 Orsay,1039,,
0910626L,http://www.ac-versailles.fr/etabliss/orsay,18 rue Alexander Fleming BP 55 91401 Orsay,1045,,
0910627M,http://www.lyc-corot-savigny.ac-versailles.fr/,Place Davout BP 118 91600 Savigny-sur-Orge,2106,,http://commons.wikimedia.org/wiki/Special:FilePath/Savigny-sur-Orge%20Chateau.JPG
0910627M,https://lyc-corot-savigny.ac-versailles.fr,Place Davout BP 118 91600 Savigny-sur-Orge,2106,,http://commons.wikimedia.org/wiki/Special:FilePath/Savigny-sur-Orge%20Chateau.JPG
0910627M,http://www.lyc-corot-savigny.ac-versailles.fr/,Place Davout BP 118 91600 Savigny-sur-Orge,2207,,http://commons.wikimedia.org/wiki/Special:FilePath/Savigny-sur-Orge%20Chateau.JPG
0910627M,https://lyc-corot-savigny.ac-versailles.fr,Place Davout BP 118 91600 Savigny-sur-Orge,2207,,http://commons.wikimedia.org/wiki/Special:FilePath/Savigny-sur-Orge%20Chateau.JPG
0910727W,https://www.lyceevilgenis.fr/,80 rue de Versailles - BP 112 - 91305 MASSY CEDEX,1390,,
0910727W,https://www.lyceevilgenis.fr/,80 rue de Versailles - BP 112 - 91305 MASSY CEDEX,1431,,
0910808J,https://scharles.org/lycee/,2 rue G Anthonioz de Gaulle 91200 Athis-Mons,799,,
0910808J,https://scharles.org/lycee/,2 rue G Anthonioz de Gaulle 91200 Athis-Mons,825,,
0910843X,http://www.saint-pierre91.org,70 rue de Montgeron 91800 Brunoy,1046,,
0910843X,http://www.saint-pierre91.org,70 rue de Montgeron 91800 Brunoy,1053,,
0910923J,https://www.iut-orsay.universite-paris-saclay.fr,,1200,http://commons.wikimedia.org/wiki/Special:FilePath/Logo%20IUT-D-ORSAY.svg,http://commons.wikimedia.org/wiki/Special:FilePath/Universit%C3%A9%20Paris-Saclay%20IUT%20Orsay%20Entr%C3%A9e%20Ao%C3%BBt%202022.jpg
0910975R,http://www.lyc-timbaud-bretigny.fr/,4 rue Henri Douard 91220 Brétigny-sur-Orge,1543,,
0910975R,http://www.lyc-timbaud-bretigny.fr/,4 rue Henri Douard 91220 Brétigny-sur-Orge,1554,,
0911346U,http://www.lyc-einstein-ste-genevieve.ac-versailles.fr/,Avenue de la Liberté 91706 Sainte-Geneviève-des-Bois,1207,,
0911346U,http://www.lyc-einstein-ste-genevieve.ac-versailles.fr/,Avenue de la Liberté 91706 Sainte-Geneviève-des-Bois,1283,,
0911913K,http://lyc-chevreuse-gif.ac-versailles.fr,8 rue de Madrid 91190 Gif-sur-Yvette,1124,,
0911913K,http://lyc-chevreuse-gif.ac-versailles.fr,8 rue de Madrid 91190 Gif-sur-Yvette,1152,,
0920135X,http://www.lyc-mounier-chatenay.ac-versailles.fr,35 rue des Prés-Hauts 92290 Châtenay-Malabry,826,,
0920135X,http://www.lyc-mounier-chatenay.ac-versailles.fr,35 rue des Prés-Hauts 92290 Châtenay-Malabry,832,,
0920136Y,http://www.lycee-newton.fr,1 place Jules Verne 92110 Clichy,1028,,
0920136Y,http://www.lycee-newton.fr,1 place Jules Verne 92110 Clichy,1035,,
0920138A,http://www.lyc-lapie-courbevoie.ac-versailles.fr,5 boulevard Aristide Briand 92400 Courbevoie,1103,,http://commons.wikimedia.org/wiki/Special:FilePath/Courbevoie%20%28Hauts-de-Seine%29%2C%2046%20rue%20de%20Colombes.%20Lyc%C3%A9e%20Paul%20Lapie.jpg
